,0,1,2,3,4,5
1479900,4,2066754910,Sun Jun 07 11:06:39 PDT 2009,NO_QUERY,jenbshaw,@brian_shoemaker hey I have a brand new baby and I'm making time (JK  )
967031,4,1827741326,Sun May 17 11:20:55 PDT 2009,NO_QUERY,xpetitlapinxx,waiting for prince charming to come over after the movie  ?
650542,0,2237598826,Fri Jun 19 06:03:55 PDT 2009,NO_QUERY,cbabydc11,Just found out a good friend of mine got shot yesterday morning  *D*
1425652,4,2059084262,Sat Jun 06 16:12:53 PDT 2009,NO_QUERY,kacsaful,@davidl1966 in case you need some photographic evidence...  http://twitpic.com/6s91g
874328,4,1679984030,Sat May 02 10:38:04 PDT 2009,NO_QUERY,muffball,@jasand aren't you done with the army yet? 
1210014,4,1989000532,Mon Jun 01 00:01:35 PDT 2009,NO_QUERY,kedawen,Happy June everybody!!  It should be a good month.
951771,4,1824310201,Sun May 17 00:50:44 PDT 2009,NO_QUERY,jentrego,"@Jonasbrothers have fun, be safe, and rock like i know you can!! "
942968,4,1794867194,Thu May 14 06:43:00 PDT 2009,NO_QUERY,lille_blomst,is editing the documentary project about philippinian au pairs in Norway. Finishing the last pick up shots tomorrow morning. 
1488271,4,2068458291,Sun Jun 07 14:06:49 PDT 2009,NO_QUERY,electricri,@lahheenah haha you hav to dig though 
822388,4,1554525350,Sat Apr 18 17:14:06 PDT 2009,NO_QUERY,tweeterlicious,@Sarahbelle1414 thanks for the link - I'm going to check it out!  
202036,0,1972033735,Sat May 30 08:25:18 PDT 2009,NO_QUERY,veronicajones,@bobafettm Dude where did you guys go last night? I turned around and you were gone!  you still owe me that ride though... =]
339218,0,2014599851,Wed Jun 03 02:04:01 PDT 2009,NO_QUERY,chocholic,putting off learning about the NHS 
1394146,4,2053582050,Sat Jun 06 05:03:02 PDT 2009,NO_QUERY,jacobsantiago,Headed to the airport 
467263,0,2175741416,Mon Jun 15 01:51:47 PDT 2009,NO_QUERY,dokus,what should I buy to replace my broken 5D ?  2x 5D Mark II or 1x 1Ds Mark III ? can't decide 
1208600,4,1988839939,Sun May 31 23:31:40 PDT 2009,NO_QUERY,shannanburbidge,i hate my school! 
1438890,4,2061412538,Sat Jun 06 20:48:56 PDT 2009,NO_QUERY,kimlyclarete,why can't i wake up at 12 nn anymore? morning 
521670,0,2192487019,Tue Jun 16 07:06:35 PDT 2009,NO_QUERY,meteorite16,I want to CHILL!!! NOW!!!! 
330264,0,2012043189,Tue Jun 02 19:58:42 PDT 2009,NO_QUERY,tj18,"ug... i wanted to watch the rest of &quot;The Visitor&quot;, with @JennaJackley and Karen "
384422,0,2053402565,Sat Jun 06 04:25:42 PDT 2009,NO_QUERY,lola_lola_lola,@Skarlett_ I know  can I come over one night this week? I miss you biatch
131233,0,1835486841,Mon May 18 06:06:11 PDT 2009,NO_QUERY,_emmajane_,"fk me! this is painful, dont mean to bitch, but this colleague, is so unorganised &amp; doesnt seem 2 av a clue how 2 deal with the patients "
1258155,4,1997852898,Mon Jun 01 17:34:07 PDT 2009,NO_QUERY,kristenyoung,"@chrismeisner or try some styrofoam sheets (not like bed sheets), that might work better. "
397735,0,2056709302,Sat Jun 06 11:38:53 PDT 2009,NO_QUERY,KirtiB,Cricket fever has gripped my family pa nd bro on phone talking bout match.....m feeling left out 
1481087,4,2067011506,Sun Jun 07 11:35:10 PDT 2009,NO_QUERY,RyanLeeEdwards,@KendraWilkinson can't wait for it here in the uk next week! 
1076374,4,1967420462,Fri May 29 19:32:49 PDT 2009,NO_QUERY,DaisyMucito,nickholdmetight (7:30:28 PM): you're pretty. 
1062129,4,1964021133,Fri May 29 13:36:15 PDT 2009,NO_QUERY,RichHeilman,"Getting a biology lesson from Mr. Halitsky at #SAPInsideTrack, takes me back to 10th grade Biology, got an A in that class.  "
811476,4,1470070536,Tue Apr 07 08:15:34 PDT 2009,NO_QUERY,adamshuty,"For those of you who like rap music... www.myspace.com/steeltowndoughboy  the video is under &quot;vids&quot;. Enjoy angles, and thank you.  "
332049,0,2012919656,Tue Jun 02 21:32:47 PDT 2009,NO_QUERY,ARE_OH_ES_ES,just brought my mood down a lil .. 
91332,0,1759462264,Sun May 10 19:15:54 PDT 2009,NO_QUERY,SarahWilson92,AHHHHHHHHH!! To much!! Way too much...I hate finals. 
161953,0,1957440033,Fri May 29 00:30:30 PDT 2009,NO_QUERY,iSibisy,I caaaaan't sleep.....it's 3.30am! wahhhh... i wanna cry 
1594774,4,2192226950,Tue Jun 16 06:42:48 PDT 2009,NO_QUERY,withgoodworks,today is my Pap Campbell's 71 birthday! 
921495,4,1754201109,Sun May 10 05:23:30 PDT 2009,NO_QUERY,Buckeyediva,Is feelin super today..not really happy mothers day 
1123645,4,1974530382,Sat May 30 13:19:17 PDT 2009,NO_QUERY,iyaitssuzanne,@Char_SOS llolz we should get a flat with nick  and inflateable nick
289518,0,1995037997,Mon Jun 01 12:51:07 PDT 2009,NO_QUERY,blak4ever,"@beckyhope I live in the US, but I live in Alaska and no one big ever come's up here "
410157,0,2059812465,Sat Jun 06 17:41:12 PDT 2009,NO_QUERY,chantellmarie,@cacaubrazil Thank you! I'm trying to figure out what to do tomorrow! 
697496,0,2253836783,Sat Jun 20 08:49:11 PDT 2009,NO_QUERY,bigbadbat,"@chrisreagan: Isn't Jaws the best screen reader on the planet? So, why not? "
810206,4,1469702284,Tue Apr 07 07:10:06 PDT 2009,NO_QUERY,kaibrach,Russel Kane was very good - funny guy that likes to take the piss out of Aussies and Brits.  Sleepy time now...
763448,0,2298324096,Tue Jun 23 11:32:06 PDT 2009,NO_QUERY,ReinventMadison,@redcarwire When is the CD officially coming out? All of us over here in Georgia are lonely without your music! 
1576272,4,2189512736,Tue Jun 16 00:12:33 PDT 2009,NO_QUERY,TopekaTweetUp,"@rio_caliente thx Rio for the comment, it's our first one on the blog "
34347,0,1564779741,Mon Apr 20 04:53:55 PDT 2009,NO_QUERY,priscx,OMGggggg...i've been holding the line for more than 11 minutes now. And am still listening to the &quot;Malaysia...oh Malaysia&quot; MAS song! 
374861,0,2051330784,Fri Jun 05 21:41:00 PDT 2009,NO_QUERY,iluvrobnedward,"Its 12:39AM and I'm still awake!... But, I'm going to bed now.  For now... Sleep Tight!"
56356,0,1685376756,Sun May 03 00:07:35 PDT 2009,NO_QUERY,KrisSlanderson,Look at you go. 
525147,0,2193765717,Tue Jun 16 08:54:07 PDT 2009,NO_QUERY,andymee,@msars budgets slashed....i don't come to conf at all 
14759,0,1553852359,Sat Apr 18 15:23:13 PDT 2009,NO_QUERY,stebooby,db birthday. its so hot 
328023,0,2010252655,Tue Jun 02 17:04:14 PDT 2009,NO_QUERY,KelseyLownds,I AM FREEZING!! lol but i may have got a 2nd job!! woo! But this might mean i can't go to New Mexico with sean 
